Patient,split
1,train
2,test
3,train
4,train
5,train
6,train
7,train
8,val
9,val
10,train
11,train
12,train
13,train
15,val
16,test
17,train
18,train
19,val
20,train
21,train
22,test
23,test
24,train
25,train
28,train
29,train
30,train
31,train
32,train
33,train
34,train
35,train
36,train
37,train
38,val
39,train
40,train
41,test
42,train
44,train
45,train
47,train
48,train
50,train
51,train
52,train
53,train
55,train
56,test
57,val
58,val
59,train
60,test
61,train
62,val
63,train
64,train
65,test
66,test
67,val
68,train
69,train
71,train
72,val
73,train
74,train
75,train
77,train
78,train
80,train
81,train
82,test
83,val
85,train
86,test
87,train
88,train
89,train
90,train
91,train
93,val
94,train
95,train
96,val
97,train
98,train
99,train
100,test
101,test
104,val
105,train
106,val
107,test
108,train
109,train
110,train
112,train
113,train
115,train
116,test
117,train
118,train
120,test
121,test
122,train
123,train
124,test
125,val
126,train
127,train
129,val
130,train
131,train
132,train
133,train
134,train
136,test
137,train
138,train
140,train
141,train
142,test
143,train
144,train
145,train
146,train
147,train
149,train
151,train
152,test
154,test
155,val
156,train
159,train
160,val
161,train
162,train
163,train
165,train
166,train
167,train
168,train
169,train
170,train
171,train
172,train
173,train
174,train
175,train
177,test
179,train
180,test
181,train
182,train
183,train
184,train
185,train
186,test
187,train
188,train
189,test
190,train
191,train
192,train
193,train
195,train
196,val
197,train
198,train
200,val
201,train
202,train
203,train
204,train
205,val
207,train
208,train
209,train
210,train
212,test
213,val
214,train
215,train
217,val
218,train
219,train
220,val
221,test
222,test
223,train
224,val
225,test
226,train
227,val
228,train
229,train
231,train
232,val
233,val
234,train
236,val
237,train
239,test
241,train
242,train
243,test
244,val
245,train
246,train
249,train
250,test
251,train
252,train
253,train
254,val
255,train
256,train
257,test
